member_id,regime,drive,drive_index,concept,mixed_derivative,ci95_lower,ci95_upper,mean_signed_integrated_term,mean_absolute_integrated_term,validity_tag,split_unit,bootstrap_unit,estimand,canonical_function,method
2864601_0.437,all,a_over_LT,0,log_f_Q,0.050929029059452034,0.0493580396777256,0.05267080032164715,-0.008765492747122712,0.046853940202634364,observed-comparison,equilibrium_files,equilibrium_files,"native max(log Q, -2)",invariant_tilde_f,held_out_quadratic_decoder_four_point_mixed_difference
2864601_0.437,all,a_over_LT,0,f_stab,-0.07844571019128953,-0.08238550622532206,-0.0743537055617512,0.004085247767733395,0.03601667090175059,observed-comparison,equilibrium_files,equilibrium_files,"native max(log Q, -2)",invariant_tilde_f,held_out_quadratic_decoder_four_point_mixed_difference
2864601_0.437,all,a_over_LT,0,log_compression,0.018889595875359873,0.018411340442246286,0.019372364851183557,-0.0043972329527606656,0.025348501856357297,observed-comparison,equilibrium_files,equilibrium_files,"native max(log Q, -2)",invariant_tilde_f,held_out_quadratic_decoder_four_point_mixed_difference
2864601_0.437,all,a_over_LT,0,bad_curvature,0.10177765793045777,0.09753038923348087,0.1058241575097683,0.020545083693315012,0.02608322690147211,observed-comparison,equilibrium_files,equilibrium_files,"native max(log Q, -2)",invariant_tilde_f,held_out_quadratic_decoder_four_point_mixed_difference
2864601_0.437,all,a_over_LT,0,geodesic_curvature,0.13062057558812884,0.11882724432141321,0.14229181514311653,0.0054383421493270296,0.01639604463225111,observed-comparison,equilibrium_files,equilibrium_files,"native max(log Q, -2)",invariant_tilde_f,held_out_quadratic_decoder_four_point_mixed_difference
2864601_0.437,all,a_over_LT,0,parallel_scale,0.082385893403669,0.07903965544376107,0.08570561404242948,0.027617541311437163,0.041784427976912904,observed-comparison,equilibrium_files,equilibrium_files,"native max(log Q, -2)",invariant_tilde_f,held_out_quadratic_decoder_four_point_mixed_difference
2864601_0.437,all,a_over_LT,0,cross_channel_colocation,-0.03744433990491436,-0.03963234576563455,-0.03530419173540067,-0.019601622251704406,0.027969858593537913,observed-comparison,equilibrium_files,equilibrium_files,"native max(log Q, -2)",invariant_tilde_f,held_out_quadratic_decoder_four_point_mixed_difference
2864601_0.437,all,a_over_LT,0,log_FSA_grad_x,0.23670200217235435,0.23442838975079094,0.2391133901334936,-0.008996210175137562,0.06104505218601344,observed-comparison,equilibrium_files,equilibrium_files,"native max(log Q, -2)",invariant_tilde_f,held_out_quadratic_decoder_four_point_mixed_difference
2864601_0.437,all,a_over_Ln,1,log_f_Q,-0.4700752108878152,-0.47200596238910403,-0.46825024553513467,-0.004466581939645359,0.215689556110467,observed-comparison,equilibrium_files,equilibrium_files,"native max(log Q, -2)",invariant_tilde_f,held_out_quadratic_decoder_four_point_mixed_difference
2864601_0.437,all,a_over_Ln,1,f_stab,0.2694553704948867,0.2673757537888358,0.27187053903974967,0.003557400966655534,0.050664068471791224,observed-comparison,equilibrium_files,equilibrium_files,"native max(log Q, -2)",invariant_tilde_f,held_out_quadratic_decoder_four_point_mixed_difference
2864601_0.437,all,a_over_Ln,1,log_compression,-0.05066943125973221,-0.051601184878690705,-0.04983757524062712,0.002521622406592739,0.03400955020299682,observed-comparison,equilibrium_files,equilibrium_files,"native max(log Q, -2)",invariant_tilde_f,held_out_quadratic_decoder_four_point_mixed_difference
2864601_0.437,all,a_over_Ln,1,bad_curvature,0.2881050774096569,0.2761148523587129,0.30003413515864835,0.021248788844602247,0.031862746595566316,observed-comparison,equilibrium_files,equilibrium_files,"native max(log Q, -2)",invariant_tilde_f,held_out_quadratic_decoder_four_point_mixed_difference
2864601_0.437,all,a_over_Ln,1,geodesic_curvature,-0.5841584567934811,-0.5988620559258478,-0.5709159661747015,-0.010496970918998578,0.03428683961249919,observed-comparison,equilibrium_files,equilibrium_files,"native max(log Q, -2)",invariant_tilde_f,held_out_quadratic_decoder_four_point_mixed_difference
2864601_0.437,all,a_over_Ln,1,parallel_scale,0.14266862026028407,0.1404367170179914,0.14491004342351677,0.0233095961566386,0.041673847307716845,observed-comparison,equilibrium_files,equilibrium_files,"native max(log Q, -2)",invariant_tilde_f,held_out_quadratic_decoder_four_point_mixed_difference
2864601_0.437,all,a_over_Ln,1,cross_channel_colocation,0.01873252872752881,0.015950886933121928,0.021162972760955797,0.007428980895145205,0.016354824233000637,observed-comparison,equilibrium_files,equilibrium_files,"native max(log Q, -2)",invariant_tilde_f,held_out_quadratic_decoder_four_point_mixed_difference
2864601_0.437,all,a_over_Ln,1,log_FSA_grad_x,0.5900583328110081,0.5808228624329812,0.5989895632658473,0.004325992736037028,0.07247419594660817,observed-comparison,equilibrium_files,equilibrium_files,"native max(log Q, -2)",invariant_tilde_f,held_out_quadratic_decoder_four_point_mixed_difference
2864601_0.437,stable_or_near_floor,a_over_LT,0,log_f_Q,-0.046214149152232126,-0.04769359830010382,-0.04449803582992963,0.012260691904080636,0.030577029561758222,observed-comparison,equilibrium_files,equilibrium_files,"native max(log Q, -2)",invariant_tilde_f,held_out_quadratic_decoder_four_point_mixed_difference
2864601_0.437,stable_or_near_floor,a_over_LT,0,f_stab,0.14042719115052418,0.13386662436488156,0.14760907045556754,-0.010326512304904409,0.031527377623163995,observed-comparison,equilibrium_files,equilibrium_files,"native max(log Q, -2)",invariant_tilde_f,held_out_quadratic_decoder_four_point_mixed_difference
2864601_0.437,stable_or_near_floor,a_over_LT,0,log_compression,-0.005864835045144171,-0.00773547697398164,-0.004078912991950908,5.1826767768858054e-05,0.009899482645698,observed-comparison,equilibrium_files,equilibrium_files,"native max(log Q, -2)",invariant_tilde_f,held_out_quadratic_decoder_four_point_mixed_difference
2864601_0.437,stable_or_near_floor,a_over_LT,0,bad_curvature,0.011899478697898523,-0.0033784514908035855,0.025364049296754777,-0.0024236692188191774,0.010545450621992533,observed-comparison,equilibrium_files,equilibrium_files,"native max(log Q, -2)",invariant_tilde_f,held_out_quadratic_decoder_four_point_mixed_difference
2864601_0.437,stable_or_near_floor,a_over_LT,0,geodesic_curvature,-0.16405520342416846,-0.1768834933199357,-0.15211446626097985,0.00029420662226037965,0.008822165868602598,observed-comparison,equilibrium_files,equilibrium_files,"native max(log Q, -2)",invariant_tilde_f,held_out_quadratic_decoder_four_point_mixed_difference
2864601_0.437,stable_or_near_floor,a_over_LT,0,parallel_scale,-0.051187546677014945,-0.05645929343071034,-0.04589854158837095,-0.007788754378175153,0.013763162621541291,observed-comparison,equilibrium_files,equilibrium_files,"native max(log Q, -2)",invariant_tilde_f,held_out_quadratic_decoder_four_point_mixed_difference
2864601_0.437,stable_or_near_floor,a_over_LT,0,cross_channel_colocation,0.09077286231092035,0.07675577979313056,0.10407192256995826,0.021491013435566437,0.03895084766940658,observed-comparison,equilibrium_files,equilibrium_files,"native max(log Q, -2)",invariant_tilde_f,held_out_quadratic_decoder_four_point_mixed_difference
