member_id,unit_id,effect,point,ci95_lower,ci95_upper,bootstrap_unit,replicates
2864601_0.437,2864601_0.437:u000,shapley_mean_absolute,0.09242625590093667,0.08659995041182701,0.09826387944235902,equilibrium_files,1000
2864601_0.437,2864601_0.437:u000,mean_replacement_rms,0.21475383484071142,0.19228896760716158,0.23763028692876964,equilibrium_files,1000
2864601_0.437,2864601_0.437:u001,shapley_mean_absolute,0.4183336394447324,0.3953187045797217,0.4431702350134485,equilibrium_files,1000
2864601_0.437,2864601_0.437:u001,mean_replacement_rms,0.6342015484811914,0.5739275924635415,0.6957563037414838,equilibrium_files,1000
2864601_0.437,2864601_0.437:u002,shapley_mean_absolute,0.03823037576804427,0.035376214524896143,0.041687714211110144,equilibrium_files,1000
2864601_0.437,2864601_0.437:u002,mean_replacement_rms,0.20053968462621174,0.17341968302676125,0.22725785727107928,equilibrium_files,1000
2864601_0.437,2864601_0.437:u003,shapley_mean_absolute,0.1588110346283065,0.14432637752853333,0.1741761005574168,equilibrium_files,1000
2864601_0.437,2864601_0.437:u003,mean_replacement_rms,0.22818662073150656,0.20425512922856118,0.2534017833275614,equilibrium_files,1000
2864601_0.437,2864601_0.437:u004,shapley_mean_absolute,0.0,0.0,0.0,equilibrium_files,1000
2864601_0.437,2864601_0.437:u004,mean_replacement_rms,0.0,0.0,0.0,equilibrium_files,1000
2864601_0.437,2864601_0.437:u005,shapley_mean_absolute,0.06225084297555441,0.057863291671868135,0.06634095781263823,equilibrium_files,1000
2864601_0.437,2864601_0.437:u005,mean_replacement_rms,0.13731126465855456,0.12394085133771514,0.1510072785885907,equilibrium_files,1000
2864601_0.437,2864601_0.437:u006,shapley_mean_absolute,0.08764937953968183,0.0823201231699386,0.09286032896322577,equilibrium_files,1000
2864601_0.437,2864601_0.437:u006,mean_replacement_rms,0.21356941490950665,0.19275286069972347,0.233000135603376,equilibrium_files,1000
2864601_0.437,2864601_0.437:u007,shapley_mean_absolute,0.06931178158070543,0.06416076019703469,0.07453379603840293,equilibrium_files,1000
2864601_0.437,2864601_0.437:u007,mean_replacement_rms,0.22842880045538666,0.2061255164347939,0.24925060316729342,equilibrium_files,1000
2864601_0.437,2864601_0.437:u008,shapley_mean_absolute,0.17009012714697747,0.16212447049668846,0.17775146020334942,equilibrium_files,1000
