target_kind,target_id,term_name,term_kind,x,y,signed_effect_native_units,estimand
member_output,2864601_0.437,a_over_LT,main_effect,0.020469365641474724,,-2.8389012722652742,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,0.5173529982566833,,-2.6227702309258163,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,0.6471039950847626,,-2.4581901732688802,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,0.7936340272426605,,-2.19052357733988,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,0.8944170773029327,,-2.041873280380782,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,0.990492582321167,,-1.8489955628872818,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,1.0797016620635986,,-1.5920282684264542,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,1.163442611694336,,-1.4038828657491353,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,1.2117691040039062,,-1.1852957748385375,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,1.292796790599823,,-1.043518502629713,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,1.3473480939865112,,-0.9016182213127839,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,1.4156787991523743,,-0.7705449441391099,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,1.487691044807434,,-0.5970338239589537,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,1.57245671749115,,-0.46191688507696377,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,1.7315163016319275,,-0.24847931707684387,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,1.8556526899337769,,-0.12252110458745011,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,2.0046072006225586,,0.016067139676523658,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,2.1780269145965576,,0.21134356119443926,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,2.4254539012908936,,0.42771860133089246,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,2.59530246257782,,0.5204733819278574,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,2.74598491191864,,0.7392657483154879,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,2.9400722980499268,,0.8640828941538585,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,3.0814322233200073,,0.9782932554506134,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,3.208429455757141,,1.073845493041195,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,3.4102851152420044,,1.2006615344073999,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,3.6218799352645874,,1.451339916493388,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,3.8923829793930054,,1.6273592722951689,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,4.133238077163696,,1.9324491760731106,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,4.537076473236084,,2.2163184547359416,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,4.991245985031128,,2.5543462846724485,"native max(log Q, -2)"
member_output,2864601_0.437,a_over_LT,main_effect,5.80909276008606,,2.931425410440894,"native max(log Q, -2)"
