candidate,distance_stratum,pairs,mean_native_high_minus_low,median_nuisance_distance_iqr_units,distance_effect_spearman_rho_all_pairs,best_quarter_distance_upper_bound,worst_quarter_distance_lower_bound,validity_tag,causal_claim_permitted
bad_curvature_compression,all,215,1.878127909437645,0.8597396668543346,0.7923422444396145,0.6036687220334201,1.346749700978175,observed-comparison,False
bad_curvature_compression,best_matched_quarter,54,0.7881304373343786,0.47727446648864347,0.7923422444396145,0.6036687220334201,1.346749700978175,observed-comparison,False
bad_curvature_compression,worst_matched_quarter,54,3.423256655810056,1.6061839615453568,0.7923422444396145,0.6036687220334201,1.346749700978175,observed-comparison,False
f_Q_integrand_w25_peak,all,185,1.5978442611361576,0.9828663871197265,0.7537128994351996,0.7128985895445401,1.418008042516673,observed-comparison,False
f_Q_integrand_w25_peak,best_matched_quarter,47,0.7424536892708312,0.5978993122087534,0.7537128994351996,0.7128985895445401,1.418008042516673,observed-comparison,False
f_Q_integrand_w25_peak,worst_matched_quarter,47,2.7582761488379317,1.6401417289633864,0.7537128994351996,0.7128985895445401,1.418008042516673,observed-comparison,False
f_stab,all,202,1.4861600168157683,0.8235700473910277,0.7726506714343223,0.5196277602299382,1.2995025841617722,observed-comparison,False
f_stab,best_matched_quarter,51,0.41058046619097394,0.4189137716309009,0.7726506714343223,0.5196277602299382,1.2995025841617722,observed-comparison,False
f_stab,worst_matched_quarter,51,2.862874847307217,1.5674048220959262,0.7726506714343223,0.5196277602299382,1.2995025841617722,observed-comparison,False
geodesic_curvature_compression,all,198,1.316841864482161,0.684010131083836,0.713363000203293,0.49008126682611625,1.1156442999211444,observed-comparison,False
geodesic_curvature_compression,best_matched_quarter,50,0.4627330082654953,0.41280963238347573,0.713363000203293,0.49008126682611625,1.1156442999211444,observed-comparison,False
geodesic_curvature_compression,worst_matched_quarter,50,2.597858732417226,1.4244151466472301,0.713363000203293,0.49008126682611625,1.1156442999211444,observed-comparison,False
